NAME(Used only as reminder for value);VALUE;LABEL
OdBm::UnitSymbolType::UST_USGPH;6803;usgph
OdBm::UnitSymbolType::UST_AMPERE;6901;A
OdBm::UnitSymbolType::UST_KILOAMPERE;7001;kA
OdBm::UnitSymbolType::UST_MILLIAMPERE;7101;mA
OdBm::UnitSymbolType::UST_VOLT;7201;V
OdBm::UnitSymbolType::UST_KILOVOLT;7301;kV
OdBm::UnitSymbolType::UST_MILLIVOLT;7401;mV
OdBm::UnitSymbolType::UST_HZ;7501;Hz
OdBm::UnitSymbolType::UST_CPS;7601;cps
OdBm::UnitSymbolType::UST_LX;7701;lx
OdBm::UnitSymbolType::UST_FC;7801;fc
OdBm::UnitSymbolType::UST_FTC;7802;Ftc
OdBm::UnitSymbolType::UST_FL;7901;fL
OdBm::UnitSymbolType::UST_FL_LOWERCASE;7902;fl
OdBm::UnitSymbolType::UST_FTL;7903;ftL
OdBm::UnitSymbolType::UST_CD_PER_SQ_M;8001;cd/m²
OdBm::UnitSymbolType::UST_CD;8101;cd
OdBm::UnitSymbolType::UST_LM;8301;lm
OdBm::UnitSymbolType::UST_VOLTAMPERE;8401;VA
OdBm::UnitSymbolType::UST_KILOVOLTAMPERE;8501;kVA
OdBm::UnitSymbolType::UST_HP;8601;hp
OdBm::UnitSymbolType::UST_N;8701;N
OdBm::UnitSymbolType::UST_DA_N;8801;daN
OdBm::UnitSymbolType::UST_K_N;8901;kN
OdBm::UnitSymbolType::UST_M_N;9001;MN
OdBm::UnitSymbolType::UST_KIP;9101;kip
OdBm::UnitSymbolType::UST_KGF;9201;kgf
OdBm::UnitSymbolType::UST_TF;9301;Tf
OdBm::UnitSymbolType::UST_LB_FORCE;9401;lb
OdBm::UnitSymbolType::UST_LBF;9402;lbf
OdBm::UnitSymbolType::UST_N_PER_M;9501;N/m
OdBm::UnitSymbolType::UST_DA_N_PER_M;9601;daN/m
OdBm::UnitSymbolType::UST_K_N_PER_M;9701;kN/m
OdBm::UnitSymbolType::UST_M_N_PER_M;9801;MN/m
OdBm::UnitSymbolType::UST_KIP_PER_FT;9901;kip/ft
OdBm::UnitSymbolType::UST_KGF_PER_M;10001;kgf/m
OdBm::UnitSymbolType::UST_TF_PER_M;10101;Tf/m
OdBm::UnitSymbolType::UST_LB_FORCE_PER_FT;10201;lb/ft
OdBm::UnitSymbolType::UST_LBF_PER_FT;10202;lbf/ft
OdBm::UnitSymbolType::UST_N_PER_M_SUP_2;10301;N/m²
OdBm::UnitSymbolType::UST_DA_N_PER_M_SUP_2;10401;daN/m²
OdBm::UnitSymbolType::UST_K_N_PER_M_SUP_2;10501;kN/m²
OdBm::UnitSymbolType::UST_M_N_PER_M_SUP_2;10601;MN/m²
OdBm::UnitSymbolType::UST_KSF;10701;ksf
OdBm::UnitSymbolType::UST_KIP_PER_SQ_FT;10702;kip/ft²
OdBm::UnitSymbolType::UST_KGF_PER_M_SUP_2;10801;kgf/m²
OdBm::UnitSymbolType::UST_TF_PER_M_SUP_2;10901;Tf/m²
OdBm::UnitSymbolType::UST_PSF;11001;psf
OdBm::UnitSymbolType::UST_LB_FORCE_PER_SQ_FT;11002;lb/ft²
OdBm::UnitSymbolType::UST_LBF_PER_SQ_FT;11003;lbf/ft²
OdBm::UnitSymbolType::UST_N_DASH_M;11101;N-m
OdBm::UnitSymbolType::UST_DA_N_DASH_M;11201;daN-m
OdBm::UnitSymbolType::UST_K_N_DASH_M;11301;kN-m
OdBm::UnitSymbolType::UST_M_N_DASH_M;11401;MN-m
OdBm::UnitSymbolType::UST_KIP_DASH_FT;11501;kip-ft
OdBm::UnitSymbolType::UST_KGF_DASH_M;11601;kgf-m
OdBm::UnitSymbolType::UST_TF_DASH_M;11701;Tf-m
OdBm::UnitSymbolType::UST_LB_FORCE_DASH_FT;11801;lb-ft
OdBm::UnitSymbolType::UST_LBF_DASH_FT;11802;lbf-ft
OdBm::UnitSymbolType::UST_M_PER_K_N;11901;m/kN
OdBm::UnitSymbolType::UST_FT_PER_KIP;12001;ft/kip
OdBm::UnitSymbolType::UST_M_SUP_2_PER_K_N;12101;m²/kN
OdBm::UnitSymbolType::UST_FT_SUP_2_PER_KIP;12201;ft²/kip
OdBm::UnitSymbolType::UST_M_SUP_3_PER_K_N;12301;m³/kN
OdBm::UnitSymbolType::UST_FT_SUP_3_PER_KIP;12401;ft³/kip
OdBm::UnitSymbolType::UST_INV_K_N;12501;1/kN
OdBm::UnitSymbolType::UST_INV_KIP;12601;1/kip
OdBm::UnitSymbolType::UST_FTH2O_PER_100FT;12701;ftH2O/100ft
OdBm::UnitSymbolType::UST_FT_OF_WATER_PER_100FT;12702;FT/100ft
OdBm::UnitSymbolType::UST_FEET_OF_WATER_PER_100FT;12703;Feet/100ft
OdBm::UnitSymbolType::UST_FTH2O;12801;ftH2O
OdBm::UnitSymbolType::UST_FT_OF_WATER;12802;FT
OdBm::UnitSymbolType::UST_FEET_OF_WATER;12803;Feet
OdBm::UnitSymbolType::UST_PA_S;12901;Pa-s
OdBm::UnitSymbolType::UST_LB_FORCE_PER_FT_S;13001;lb/ft-s
OdBm::UnitSymbolType::UST_LBM_PER_FT_S;13002;lbm/ft-s
OdBm::UnitSymbolType::UST_CP;13101;cP
OdBm::UnitSymbolType::UST_FT_PER_S;13201;ft/s
OdBm::UnitSymbolType::UST_FPS;13202;FPS
OdBm::UnitSymbolType::UST_KSI;13301;ksi
OdBm::UnitSymbolType::UST_KIP_PER_SQ_IN;13302;kip/in²
OdBm::UnitSymbolType::UST_KN_PER_M_SUP_3;13401;kN/m³
OdBm::UnitSymbolType::UST_LB_FORCE_PER_CU_FT;13501;lb/ft³
OdBm::UnitSymbolType::UST_LBF_PER_CU_FT;13502;lbf/ft³
OdBm::UnitSymbolType::UST_KIP_PER_IN_SUP_3;13601;kip/in³
OdBm::UnitSymbolType::UST_INV_DEGREE_F;13701;1/°F
OdBm::UnitSymbolType::UST_INV_DEGREE_C;13801;1/°C
OdBm::UnitSymbolType::UST_N_DASH_M_PER_M;13901;N-m/m
OdBm::UnitSymbolType::UST_DA_N_DASH_M_PER_M;14001;daN-m/m
OdBm::UnitSymbolType::UST_K_N_DASH_M_PER_M;14101;kN-m/m
OdBm::UnitSymbolType::UST_M_N_DASH_M_PER_M;14201;MN-m/m
OdBm::UnitSymbolType::UST_KIP_DASH_FT_PER_FT;14301;kip-ft/ft
OdBm::UnitSymbolType::UST_KGF_DASH_M_PER_M;14401;kgf-m/m
OdBm::UnitSymbolType::UST_TF_DASH_M_PER_M;14501;Tf-m/m
OdBm::UnitSymbolType::UST_LB_FORCE_DASH_FT_PER_FT;14601;lb-ft/ft
OdBm::UnitSymbolType::UST_LBF_DASH_FT_PER_FT;14602;lbf-ft/ft
OdBm::UnitSymbolType::UST_LB_FORCE_PER_FT_H;14701;lb/ft-h
OdBm::UnitSymbolType::UST_LBM_PER_FT_H;14702;lbm/ft-h
OdBm::UnitSymbolType::UST_KIPS_PER_IN;14801;kip/in
OdBm::UnitSymbolType::UST_KIPS_PER_CU_FT;14901;kip/ft³
OdBm::UnitSymbolType::UST_KIP_FT_PER_DEGREE;15001;kip-ft/°
OdBm::UnitSymbolType::UST_K_N_M_PER_DEGREE;15101;kN-m/°
OdBm::UnitSymbolType::UST_KIP_FT_PER_DEGREE_PER_FT;15201;kip-ft/°/ft
OdBm::UnitSymbolType::UST_K_N_M_PER_DEGREE_PER_M;15301;kN-m/°/m
OdBm::UnitSymbolType::UST_WATT_PER_SQ_M_K;15401;W/(m²·K)
OdBm::UnitSymbolType::UST_BTU_PER_H_SQ_FT_DEGREE_F;15501;BTU/(h·ft²·°F)
OdBm::UnitSymbolType::UST_CFM_PER_SQ_FT;15601;CFM/ft²
OdBm::UnitSymbolType::UST_CFM_PER_SF;15602;CFM/SF
OdBm::UnitSymbolType::UST_LPS_PER_SQ_M;15701;LPS/m²
OdBm::UnitSymbolType::UST_L_PER_S_SQ_M;15702;L/(s·m²)
OdBm::UnitSymbolType::UST_COLON_10;15801;:10
OdBm::UnitSymbolType::UST_COLON_12;15901;:12
OdBm::UnitSymbolType::UST_SLOPE_DEGREE_SYMBOL;16001;°
OdBm::UnitSymbolType::UST_WATT_PER_CU_FT;16401;W/ft³
OdBm::UnitSymbolType::UST_WATT_PER_CU_M;16501;W/m³
OdBm::UnitSymbolType::UST_BTU_PER_H_SQ_FT;16601;Btu/(h·ft²)
OdBm::UnitSymbolType::UST_BTU_PER_H_CU_FT;16701;Btu/(h·ft³)
OdBm::UnitSymbolType::UST_TON;16801;ton
OdBm::UnitSymbolType::UST_TON_OF_REFRIGERATION;16802;ton of refrigeration
OdBm::UnitSymbolType::UST_CFM_PER_CU_FT;16901;CFM/ft³
OdBm::UnitSymbolType::UST_CFM_PER_CF;16902;CFM/CF
OdBm::UnitSymbolType::UST_L_PER_S_CU_M;17001;L/(s·m³)
OdBm::UnitSymbolType::UST_CFM_PER_TON;17101;CFM/ton
OdBm::UnitSymbolType::UST_L_PER_S_KW;17201;L/(s·kW)
OdBm::UnitSymbolType::UST_SQ_FT_PER_TON;17301;ft²/ton
OdBm::UnitSymbolType::UST_SF_PER_TON;17302;SF/ton
OdBm::UnitSymbolType::UST_SQ_M_PER_KW;17401;m²/kW
OdBm::UnitSymbolType::UST_DOLLAR;17501;$
OdBm::UnitSymbolType::UST_EURO_SUFFIX;17502;€
OdBm::UnitSymbolType::UST_EURO_PREFIX;17503;€
OdBm::UnitSymbolType::UST_POUND;17504;£
OdBm::UnitSymbolType::UST_YEN;17505;¥
OdBm::UnitSymbolType::UST_CHINESE_HONG_KONG_SAR;17506;HK$
OdBm::UnitSymbolType::UST_WON;17507;₩
OdBm::UnitSymbolType::UST_SHEQEL;17508;₪
OdBm::UnitSymbolType::UST_DONG;17509;₫
OdBm::UnitSymbolType::UST_BAHT;17510;฿
OdBm::UnitSymbolType::UST_KRONER;17511;kr
OdBm::UnitSymbolType::UST_LM_PER_W;17601;lm/W
OdBm::UnitSymbolType::UST_SF_PER_MBH;17701;SF/MBh
OdBm::UnitSymbolType::UST_SF_PER_KBTU_PER_H;17702;SF·h/kBtu
OdBm::UnitSymbolType::UST_SQ_FT_PER_MBH;17703;ft²/MBh
OdBm::UnitSymbolType::UST_SQ_FT_PER_KBTU_PER_H;17704;ft²·h/kBtu
OdBm::UnitSymbolType::UST_K_N_PER_CM_SUP_2;17801;kN/cm²
OdBm::UnitSymbolType::UST_N_PER_MM_SUP_2;17901;N/mm²
OdBm::UnitSymbolType::UST_K_N_PER_MM_SUP_2;18001;kN/mm²
OdBm::UnitSymbolType::UST_ONE_COLON;18201;1:
OdBm::UnitSymbolType::UST_H_SQ_FT_DEGREE_F_PER_BTU;18401;(h·ft²·°F)/BTU
OdBm::UnitSymbolType::UST_SQ_M_K_PER_WATT;18501;(m²·K)/W
OdBm::UnitSymbolType::UST_BTU_PER_F;18601;BTU/°F
OdBm::UnitSymbolType::UST_J_PER_KELVIN;18701;J/K
OdBm::UnitSymbolType::UST_KJ_PER_KELVIN;18801;kJ/K
OdBm::UnitSymbolType::UST_KGM;18901;kg
OdBm::UnitSymbolType::UST_TM;19001;t
OdBm::UnitSymbolType::UST_LB_MASS;19101;lb
OdBm::UnitSymbolType::UST_LBM;19102;lbm
OdBm::UnitSymbolType::UST_M_PER_SQ_S;19201;m/s²
OdBm::UnitSymbolType::UST_KM_PER_SQ_S;19301;km/s²
OdBm::UnitSymbolType::UST_IN_PER_SQ_S;19401;in/s²
OdBm::UnitSymbolType::UST_FT_PER_SQ_S;19501;ft/s²
OdBm::UnitSymbolType::UST_MI_PER_SQ_S;19601;mi/s²
OdBm::UnitSymbolType::UST_FT_SUP_4;19701;ft4
OdBm::UnitSymbolType::UST_IN_SUP_4;19801;in4
OdBm::UnitSymbolType::UST_MM_SUP_4;19901;mm4
OdBm::UnitSymbolType::UST_CM_SUP_4;20001;cm4
OdBm::UnitSymbolType::UST_M_SUP_4;20101;m4
OdBm::UnitSymbolType::UST_FT_SUP_6;20201;ft6
OdBm::UnitSymbolType::UST_IN_SUP_6;20301;in6
OdBm::UnitSymbolType::UST_MM_SUP_6;20401;mm6
OdBm::UnitSymbolType::UST_CM_SUP_6;20501;cm6
OdBm::UnitSymbolType::UST_M_SUP_6;20601;m6
OdBm::UnitSymbolType::UST_SQ_FT_PER_FT;20701;ft²/ft
OdBm::UnitSymbolType::UST_SQ_IN_PER_FT;20801;in²/ft
OdBm::UnitSymbolType::UST_SQ_MM_PER_M;20901;mm²/m
OdBm::UnitSymbolType::UST_SQ_CM_PER_M;21001;cm²/m
OdBm::UnitSymbolType::UST_SQ_M_PER_M;21101;m²/m
OdBm::UnitSymbolType::UST_KGM_PER_M;21201;kg/m
OdBm::UnitSymbolType::UST_LB_MASS_PER_FT;21301;lb/ft
OdBm::UnitSymbolType::UST_LBM_PER_FT;21302;lbm/ft
OdBm::UnitSymbolType::UST_RAD;21401;rad
OdBm::UnitSymbolType::UST_GRAD;21501;grad
OdBm::UnitSymbolType::UST_RAD_PER_S;21601;rad/s
OdBm::UnitSymbolType::UST_MS;21701;ms
OdBm::UnitSymbolType::UST_S;21801;s
OdBm::UnitSymbolType::UST_MIN;21901;min
OdBm::UnitSymbolType::UST_H;22001;h
OdBm::UnitSymbolType::UST_KM_PER_H;22101;km/h
OdBm::UnitSymbolType::UST_MI_PER_H;22201;mph
OdBm::UnitSymbolType::UST_KJ;22301;kJ
OdBm::UnitSymbolType::UST_KGM_PER_SQ_M;22401;kg/m²
OdBm::UnitSymbolType::UST_LBM_PER_SQ_FT;22501;lb/ft²
OdBm::UnitSymbolType::UST_WATTS_PER_METER_KELVIN;22601;W/(m·K)
OdBm::UnitSymbolType::UST_J_PER_G_CELSIUS;22701;J/(g·°C)
OdBm::UnitSymbolType::UST_J_PER_G;22801;J/g
OdBm::UnitSymbolType::UST_NG_PER_PA_S_SQ_M;22901;ng/(Pa·s·m²)
OdBm::UnitSymbolType::UST_OHM_M;23001;ohm·m
OdBm::UnitSymbolType::UST_BTU_PER_H_FT_DEGREE_F;23101;BTU/(h·ft·°F)
OdBm::UnitSymbolType::UST_BTU_PER_LB_DEGREE_F;23201;BTU/(lb·°F)
OdBm::UnitSymbolType::UST_BTU_PER_LB;23301;BTU/lb
OdBm::UnitSymbolType::UST_GR_PER_H_SQ_FT_IN_HG;23401;gr/(h·ft²·inHg)
OdBm::UnitSymbolType::UST_PER_MILLE_SIGN;23501;‰
OdBm::UnitSymbolType::UST_DM;23601;dm
OdBm::UnitSymbolType::UST_J_PER_KG_CELSIUS;23701;J/(kg·°C)
OdBm::UnitSymbolType::UST_UM_PER_M_C;23801;µm/(m·°C)
OdBm::UnitSymbolType::UST_UIN_PER_IN_F;23901;µin/(in·°F)
OdBm::UnitSymbolType::UST_USTONNES_MASS_TONS;24001;Tons
OdBm::UnitSymbolType::UST_USTONNES_MASS_T;24002;T
OdBm::UnitSymbolType::UST_USTONNES_MASS_ST;24003;ST
OdBm::UnitSymbolType::UST_USTONNES_FORCE_TONSF;24101;Tonsf
OdBm::UnitSymbolType::UST_USTONNES_FORCE_STF;24102;STf
OdBm::UnitSymbolType::UST_USTONNES_FORCE_AS_MASS_TONS;24103;Tons
OdBm::UnitSymbolType::UST_USTONNES_FORCE_AS_MASS_T;24104;T
OdBm::UnitSymbolType::UST_USTONNES_FORCE_AS_MASS_ST;24105;ST
OdBm::UnitSymbolType::UST_L_PER_M;24201;L/min
OdBm::UnitSymbolType::UST_LPM;24202;LPM
OdBm::UnitSymbolType::UST_DEGREE_F_DIFFERENCE;24301;°F
OdBm::UnitSymbolType::UST_DELTA_DEGREE_F;24302;delta°F
OdBm::UnitSymbolType::UST_DEGREE_C_DIFFERENCE;24401;°C
OdBm::UnitSymbolType::UST_DELTA_DEGREE_C;24402;delta°C
OdBm::UnitSymbolType::UST_KELVIN_DIFFERENCE;24501;K
OdBm::UnitSymbolType::UST_DELTA_KELVIN;24502;deltaK
OdBm::UnitSymbolType::UST_DEGREE_R_DIFFERENCE;24601;°R
OdBm::UnitSymbolType::UST_DELTA_DEGREE_R;24602;delta°R
